Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Batman,"$753,223,000","$366,623,000",48.7%,"$386,600,000",51.3%
2,Water Gate Bridge,"$626,203,271","$117,294",<0.1%,"$626,085,977",100%
3,Uncharted,"$389,824,237","$145,624,237",37.4%,"$244,200,000",62.6%
4,Sonic the Hedgehog 2,"$246,804,424","$134,604,424",54.5%,"$112,200,000",45.5%
5,Too Cool to Kill,"$217,257,134","$185,882",<0.1%,"$217,071,252",99.9%
6,Nice View,"$211,019,299",-,-,"$211,019,299",100%
7,Fantastic Beasts: The Secrets of Dumbledore,"$207,927,000","$57,227,000",27.5%,"$150,700,000",72.5%
8,Morbius,"$148,858,104","$67,558,104",45.4%,"$81,300,000",54.6%
9,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
10,Death on the Nile,"$136,874,729","$45,621,073",33.3%,"$91,253,656",66.7%
11,The Lost City,"$100,933,819","$82,319,909",81.6%,"$18,613,910",18.4%
12,RRR,"$99,754,058","$11,113,000",11.1%,"$88,641,058",88.9%
13,Jackass Forever,"$80,340,218","$57,743,451",71.9%,"$22,596,767",28.1%
14,Dog,"$76,146,700","$61,597,583",80.9%,"$14,549,117",19.1%
15,The Bad Guys,"$60,471,788","$8,000,000",13.2%,"$52,471,788",86.8%
16,Marry Me,"$49,432,916","$22,438,180",45.4%,"$26,994,736",54.6%
17,Moonfall,"$43,151,390","$19,060,660",44.2%,"$24,090,730",55.8%
18,Ambulance,"$42,821,045","$17,919,045",41.8%,"$24,902,000",58.2%
19,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
20,The 355,"$27,665,746","$14,570,455",52.7%,"$13,095,291",47.3%
21,The Kashmir Files,"$24,878,524","$1,485,000",6%,"$23,393,524",94%
22,Everything Everywhere All at Once,"$24,425,904","$23,075,980",94.5%,"$1,349,924",5.5%
23,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
24,The Last 10 Years,"$21,409,130",-,-,"$21,409,130",100%
25,Doraemon the Movie: Nobita's Little Star Wars 2021,"$19,413,592",-,-,"$19,413,592",100%
26,Radhe Shyam,"$15,975,683","$1,860,000",11.6%,"$14,115,683",88.4%
27,Turning Red,"$15,548,909",-,-,"$15,548,909",100%
28,Blacklight,"$15,465,543","$9,591,094",62%,"$5,874,449",38%
29,Maison de retraite,"$15,279,304",-,-,"$15,279,304",100%
30,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
31,Detective Conan: The Bride of Halloween,"$15,083,561",-,-,"$15,083,561",100%
32,Wunderschön,"$14,982,641",-,-,"$14,982,641",100%
33,Super-héros malgré lui,"$14,769,297",-,-,"$14,769,297",100%
34,Valimai,"$13,276,393",-,-,"$13,276,393",100%
35,Bergen,"$12,616,713",-,-,"$12,616,713",100%
36,X,"$12,549,382","$11,679,750",93.1%,"$869,632",6.9%
37,Father Stu,"$11,544,511","$11,544,511",100%,-,-
38,The Duke,"$10,710,374",-,-,"$10,710,374",100%
39,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
40,Vaillante,"$10,084,003",-,-,"$10,084,003",100%
41,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
42,The Northman,"$8,435,696","$5,000,000",59.3%,"$3,435,696",40.7%
43,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
44,K.G.F: Chapter 2,"$6,564,670","$2,874,000",43.8%,"$3,690,670",56.2%
45,Cyrano,"$6,381,054","$3,873,124",60.7%,"$2,507,930",39.3%
46,Adieu Monsieur Haffmann,"$6,086,354",-,-,"$6,086,354",100%
47,Chickenhare and the Hamster of Darkness,"$6,075,209",-,-,"$6,075,209",100%
48,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
49,Osomatsusan the Movie 2022 Re-release,"$5,930,876",-,-,"$5,930,876",100%
50,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
51,Bheeshma Parvam,"$5,779,651",-,-,"$5,779,651",100%
52,Serial (Bad) Weddings 3,"$5,574,977",-,-,"$5,574,977",100%
53,Goliath,"$5,550,402",-,-,"$5,550,402",100%
54,Notre Dame on Fire,"$5,515,116",-,-,"$5,515,116",100%
55,The Cherry Bushido,"$5,122,729","$17,586",0.3%,"$5,105,143",99.7%
56,Finnick,"$4,651,528",-,-,"$4,651,528",100%
57,The Cursed,"$4,588,389","$4,588,389",100%,-,-
58,Waiting for Bojangles,"$4,506,525",-,-,"$4,506,525",100%
59,Maigret,"$4,420,841",-,-,"$4,420,841",100%
60,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
61,Permis de construire,"$4,234,050",-,-,"$4,234,050",100%
62,The Godfather 2022 Re-release,"$4,214,662","$1,414,662",33.6%,"$2,800,000",66.4%
63,Rise,"$4,093,617",-,-,"$4,093,617",100%
64,In Our Prime,"$4,034,211",-,-,"$4,034,211",100%
65,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
66,Un Autre Monde,"$3,755,279",-,-,"$3,755,279",100%
67,King,"$3,693,885",-,-,"$3,693,885",100%
68,Rabbit Academy,"$3,684,113",-,-,"$3,684,113",100%
69,Beautiful Minds,"$3,658,644",-,-,"$3,658,644",100%
70,Naked Truth,"$3,606,263",-,-,"$3,606,263",100%
71,Disobedient,"$3,601,801",-,-,"$3,601,801",100%
72,The Outfit,"$3,599,325","$3,344,040",92.9%,"$255,285",7.1%
73,Special Delivery,"$3,536,617",-,-,"$3,536,617",100%
74,Belli ciao,"$3,423,873",-,-,"$3,423,873",100%
75,Between Two Worlds,"$3,369,523",-,-,"$3,369,523",100%
76,Gangubai Kathiawadi,"$3,305,521","$592,000",17.9%,"$2,713,521",82.1%
77,Etharkkum Thunindhavan,"$3,266,724",-,-,"$3,266,724",100%
78,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
79,Studio 666,"$2,999,769","$2,513,963",83.8%,"$485,806",16.2%
80,Desperate for Marriage,"$2,956,077",-,-,"$2,956,077",100%
81,The Young Lovers,"$2,955,577",-,-,"$2,955,577",100%
82,Hot Blooded,"$2,905,288",-,-,"$2,905,288",100%
83,The Unbearable Weight of Massive Talent,"$2,900,000","$2,900,000",100%,-,-
84,The Exorcism of God,"$2,883,050",-,-,"$2,883,050",100%
85,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
86,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
87,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
88,The Glance of Music,"$2,666,749",-,-,"$2,666,749",100%
89,Fireheart,"$2,640,077",-,-,"$2,640,077",100%
90,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
91,Le temps des secrets,"$2,586,097",-,-,"$2,586,097",100%
92,Vietnamese Horror Story,"$2,569,119",-,-,"$2,569,119",100%
93,Promises,"$2,533,430",-,-,"$2,533,430",100%
94,La brigade,"$2,430,952",-,-,"$2,430,952",100%
95,The Grandmother,"$2,400,525",-,-,"$2,400,525",100%
96,Heart of Oak,"$2,397,369",-,-,"$2,397,369",100%
97,Corro da te,"$2,323,816",-,-,"$2,323,816",100%
98,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
99,The Phantom of the Open,"$2,244,228",-,-,"$2,244,228",100%
100,The Nan Movie,"$2,226,322",-,-,"$2,226,322",100%
101,The Beatles: Get Back - The Rooftop Concert,"$2,209,986","$976,712",44.2%,"$1,233,274",55.8%
102,Y cómo es él?,"$2,208,036",-,-,"$2,208,036",100%
103,Tajemství staré bambitky 2,"$2,196,359",-,-,"$2,196,359",100%
104,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
105,Umma,"$2,113,678","$2,113,678",100%,-,-
106,The Contractor,"$2,043,749","$1,035,265",50.7%,"$1,008,484",49.3%
107,The Beatles: Get Back,"$1,959,336",-,-,"$1,959,336",100%
108,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
109,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
110,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
111,Beast,"$1,841,581",-,-,"$1,841,581",100%
112,Odinnadtsat molchalivykh muzhchin,"$1,836,588",-,-,"$1,836,588",100%
113,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,801,646","$1,801,646",100%,-,-
114,Kappei,"$1,770,794",-,-,"$1,770,794",100%
115,Tonbi,"$1,762,213",-,-,"$1,762,213",100%
116,Alors on danse,"$1,760,138",-,-,"$1,760,138",100%
117,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
118,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
119,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
120,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
121,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
